"year","date_yyyy.mm.dd","survey","team","species","sex","activity_type","km_marker","beach_zone","gpse","gpsn","gps_accuracy_m","nest_id","egg_chamber_triangulated","direction_nesting","north_m","centre_m","south_m","htl_m","triangulated_by","activity_comments","record_type","encounter_activity","encounter_time_hh.mm.ss","turtle_id","right_tag","left_tag","removed_right_tag","removed_left_tag","right_oth_y_n","right_otn_y_n","left_oth_y_n","left_otn_y_n","right_tagger","left_tagger","tagging_comments","ccl_min1_cm","ccl_min2_cm","ccl_min3_cm","ccl_min_avg_cm","ccl_min_measured_by","ccw_max1_cm","ccw_max2_cm","ccw_max3_cm","ccw_max_avg_cm","ccw_max_measured_by","x1","x2","x3","x4","x5","x6","x7","x8","caudal_projection_complete","fibropapillomas","body_check_comments","number_yolked_eggs","number_yolkless_eggs","number_total_eggs","eggs_counted_by","egg_depth_cm","nest_depth_cm","relocated_km_marker","relocated_beach_zone","relocated_north_m","relocated_centre_m","relocated_south_m","relocated_htl_m","relocated_chamber_depth_cm","relocated_chamber_width_cm","relocated_gpse","relocated_gpsn","relocated_comments","data_comments","julian_time"
2006,"2006-03-02","AM",NA,"DC","F","HLF",18,NA,222468,1175339,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13209
2006,"2006-03-05","AM",NA,"DC","F","NST",7,"O",223291,1173352,NA,"NTRI06001",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13212
2006,"2006-03-07","AM",NA,"DC","F","HLF",24,NA,221973,1176582,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13214
2006,"2006-03-07","AM",NA,"DC","F","NST",24,"O",221970,1176566,NA,"NTRI06002",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13214
2006,"2006-03-12","PM1",NA,"DC","F","NST",13,"O",222820,1174481,NA,"NTRI06003",FALSE,NA,NA,NA,NA,NA,NA,"se estaba devolviendo intento de placas fallido",NA,"Disguising nest","00:00:00","09-0022",NA,"VA1872",NA,NA,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"this turtle was seen in 2006 but only registered to the tag database in 2009 so it has a 2009 ID that was later added to this record.",13219
2006,"2006-03-15","PM1",NA,"DC","F","NST",5,"O",223458,1172945,NA,"NTRI06004",FALSE,"NW",NA,NA,NA,NA,NA,NA,"REC","Digging body pit","01:48:00","06-0001","VA8205","VA8206",NA,NA,0,0,0,0,"AB","AB",NA,NA,NA,NA,NA,NA,116,116.1,116,116.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"6 - bite mark",125,20,145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13222
2006,"2006-03-15","PM1",NA,"DC","F","HLF",17,NA,222501,1175255,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,"00:42:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13222
2006,"2006-03-16","PM1",NA,"DC","F","HLF",12,NA,222879,1174299,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"track measurements: outside 161.5 cm and inside 106 cm.",NA,NA,"22:00:00",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13223
2006,"2006-03-19","AM",NA,"DC","F","HLF",12,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,"body pit and cavity 8 yolkness eggs found on track bf surf. 20 af 1 3/8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13226
2006,"2006-03-20","PM1",NA,"DC","F","NST",11,"O",222954,1174136,NA,"NTRI06005",FALSE,"SE",NA,NA,NA,NA,NA,NA,"REX","Oviposition","00:22:00","06-0002","VA2495","VA2494",NA,NA,1,1,1,0,NA,NA,NA,150,150,149.9,149.97,NA,107,107,107,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"4 - bite mark
. tenia parasitos anantiferas en la altea posterior derecha se lops hemos extraido sin problemas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13227
2006,"2006-03-25","PM1",NA,"DC","F","NST",11,"O",222984,1174074,NA,"NTRI06006",FALSE,"NW",NA,NA,NA,NA,NA,NA,"REX","Emerging from sea","23:28:00","06-0003","VA2866","VA2867",NA,NA,0,0,0,0,NA,NA,"anatiferos en tag izq removido pura vida.",144.5,144.5,144.6,144.53,NA,106,106,106,106,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,81,15,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13232
2006,"2006-03-26","PM1",NA,"DC","F","NST",4,"O",223557,1172692,NA,"NTRI06007",FALSE,"W",NA,NA,NA,NA,NA,NA,"REC","Emerging from sea","23:22:00","06-0004","VA8207","VA8208",NA,NA,0,0,0,0,"AB","AB",NA,162,162,1621,648.33,NA,116.5,116.5,116.5,116.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,"2 - hole
. 8 - bite mark",80,27,107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13233
2006,"2006-03-28","PM1",NA,"DC","F","NST",3,"O",223628,1172532,NA,"NTRI06008",FALSE,"W",NA,NA,NA,NA,NA,NA,"REX","Emerging from sea","01:33:00","06-0005","VA3262","VA3261",NA,NA,0,0,0,0,NA,NA,NA,157,157.2,157.1,157.1,NA,112,112.1,112,112.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,60,22,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13235
2006,"2006-03-29","PM1",NA,"DC","F","NST",2,"O",223676,1172414,NA,"NTRI06009",FALSE,"S",NA,NA,NA,NA,NA,NA,"REX","Digging body pit","00:49:00","06-0006","VA5434","VA5432",NA,NA,0,0,0,0,NA,NA,NA,150,150,150,150,NA,114,114.1,114.1,114.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,NA,67,32,99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13236
2006,"2006-04-01","AM",NA,"DC","F","NST",14,"O",222724,1174703,NA,"NTRI06010",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13239
